_id,plate,source,last_digit,type
6649a87e4817b6fcfb3f7412,B3O233EZ,car,3,odd
6649a87e4817b6fcfb3f7413,B3A4R5UA,car,5,odd
6649a87e4817b6fcfb3f7416,B5M2W3CI,car,3,odd
6649a87e4817b6fcfb3f7417,B7Y4V3KI,car,3,odd
6649a87e4817b6fcfb3f7418,B1F9X7ZD,car,7,odd
6649a87e4817b6fcfb3f7419,B3E8H1TF,car,1,odd
6649a87e4817b6fcfb3f741a,B2N7Y9UF,car,9,odd
6649a87e4817b6fcfb3f741d,B8G2S5UF,car,5,odd
6649a87e4817b6fcfb3f741f,B4F7J1XC,car,1,odd
6649a87e4817b6fcfb3f7421,B5F2J9XF,car,9,odd
6649a87e4817b6fcfb3f7422,B8N1X3PA,car,3,odd
6649a87e4817b6fcfb3f7423,B9C4X5VA,car,5,odd
6649a87e4817b6fcfb3f7426,B7D1R5PC,car,5,odd
6649a87e4817b6fcfb3f7428,B4W3T9SA,car,9,odd
6649a87e4817b6fcfb3f742a,B6R4U1PH,car,1,odd
6649a87e4817b6fcfb3f742b,B9T7H5KA,car,5,odd
6649a87e4817b6fcfb3f742c,B1D8W7ME,car,7,odd
6649a87e4817b6fcfb3f742d,B2P7U5SA,car,5,odd
6649a87e4817b6fcfb3f742e,B5Z2U1ND,car,1,odd
6649a87e4817b6fcfb3f7434,B3P9Z1CE,car,1,odd
6649a87e4817b6fcfb3f7435,B2B4F7XC,car,7,odd
6649a87e4817b6fcfb3f7437,B1U5D3RG,car,3,odd
6649a87e4817b6fcfb3f7438,B7J8Z5TB,car,5,odd
6649a87e4817b6fcfb3f7439,B9X2W7VE,car,7,odd
6649a87e4817b6fcfb3f743a,B4K7N1SH,car,1,odd
6649a87e4817b6fcfb3f743b,B9X4P1NF,car,1,odd
6649a87e4817b6fcfb3f743f,B8H3U9PA,car,9,odd
6649a87e4817b6fcfb3f7441,B3X5W9VG,car,9,odd
6649a87e4817b6fcfb3f7442,B4J2S7NA,car,7,odd
6649a87e4817b6fcfb3f7443,B5H1W3ZI,car,3,odd
6649a87e4817b6fcfb3f7444,B8P5F3TA,car,3,odd
6649a87e4817b6fcfb3f7445,B6U2H9RC,car,9,odd
6649a87e4817b6fcfb3f7446,B4Z2K7DA,car,7,odd
6649a87e4817b6fcfb3f7447,B6D1M7ZC,car,7,odd
6649a87e4817b6fcfb3f7448,B3T2P7MA,car,7,odd
6649a87e4817b6fcfb3f7449,B1R8N3XB,car,3,odd
6649a87e4817b6fcfb3f744a,B5K1P9CD,car,9,odd
6649a87e4817b6fcfb3f744b,B7X4D3FA,car,3,odd
6649a87e4817b6fcfb3f744c,B2Z8F3XG,car,3,odd
6649a87e4817b6fcfb3f744d,B9R2S5TG,car,5,odd
6649a87e4817b6fcfb3f744e,B7V2H9DE,car,9,odd
6649a87e4817b6fcfb3f7450,B3C5V7SA,car,7,odd
6649a87e4817b6fcfb3f7452,B8Z1M3PI,car,3,odd
6649a87e4817b6fcfb3f7454,B9X2N5SA,car,5,odd
6649a87e4817b6fcfb3f7455,B1H9V5RH,car,5,odd
6649a87e4817b6fcfb3f7456,B3P5U9KG,car,9,odd
6649a87e4817b6fcfb3f7457,B7W9N3TB,car,3,odd
6649a87e4817b6fcfb3f7458,B2X4V9RA,car,9,odd
6649a87e4817b6fcfb3f7459,B5Z1M7CA,car,7,odd
6649a87e4817b6fcfb3f745a,B6F3P1RH,car,1,odd
6649a87e4817b6fcfb3f745c,B8P2D3XI,car,3,odd
6649a87e4817b6fcfb3f745d,B2R7W9JD,car,9,odd
6649a87e4817b6fcfb3f7462,B8F3Z9WG,car,9,odd
6649a87e4817b6fcfb3f7463,B6R1T7NE,car,7,odd
6649a87e4817b6fcfb3f7464,B9Z3K7XA,car,7,odd
6649a87e4817b6fcfb3f7465,B3F7T9SB,car,9,odd
6649a87e4817b6fcfb3f7468,B6D1J7XI,car,7,odd
6649a87e4817b6fcfb3f746b,B2X4V5TH,car,5,odd
6649a87e4817b6fcfb3f746c,B4F7H1MC,car,1,odd
6649a87e4817b6fcfb3f746e,B1S8U5RD,car,5,odd
6649a87e4817b6fcfb3f746f,B4K7N9WC,car,9,odd
6649a87e4817b6fcfb3f7470,B2Z8R5VG,car,5,odd
6649a87e4817b6fcfb3f7471,B3P7W9TA,car,9,odd
6649a87e4817b6fcfb3f7472,B9U2X5ZD,car,5,odd
6649a87e4817b6fcfb3f7473,B6J8H3RA,car,3,odd
6649a87e4817b6fcfb3f7475,B6X2R9CA,car,9,odd
