_id,plate,source,last_digit,type
6646db6ff89c18be72984dc6,B3O23KEZ,motorcycle,,odd
6646db6ff89c18be72984dc8,B8C2X4V5,motorcycle,5.0,odd
6646db6ff89c18be72984dc9,B1M3U8R7,motorcycle,7.0,odd
6646db6ff89c18be72984dca,B5M2W3C9,motorcycle,9.0,odd
6646db6ff89c18be72984dcb,B7Y4V3K9,motorcycle,9.0,odd
6646db6ff89c18be72984dcf,B4B7X8D5,motorcycle,5.0,odd
6646db6ff89c18be72984dd0,B1N3P8V7,motorcycle,7.0,odd
6646db6ff89c18be72984dd3,B4F7J1X3,motorcycle,3.0,odd
6646db6ff89c18be72984dd4,B6P2Z4U1,motorcycle,1.0,odd
6646db6ff89c18be72984dd7,B9C4X5V1,motorcycle,1.0,odd
6646db6ff89c18be72984dd9,B5E2H8V1,motorcycle,1.0,odd
6646db6ff89c18be72984dda,B7D1R5P3,motorcycle,3.0,odd
6646db6ff89c18be72984ddb,B1K7C2T5,motorcycle,5.0,odd
6646db6ff89c18be72984ddc,B4W3T9S1,motorcycle,1.0,odd
6646db6ff89c18be72984ddd,B1S5R2M9,motorcycle,9.0,odd
6646db6ff89c18be72984ddf,B9T7H5K1,motorcycle,1.0,odd
6646db6ff89c18be72984de0,B1D8W7M5,motorcycle,5.0,odd
6646db6ff89c18be72984de1,B2P7U5S1,motorcycle,1.0,odd
6646db6ff89c18be72984de3,B3K5H8Z7,motorcycle,7.0,odd
6646db6ff89c18be72984de4,B6S2V4T1,motorcycle,1.0,odd
6646db6ff89c18be72984de5,B8K1X4W7,motorcycle,7.0,odd
6646db6ff89c18be72984de8,B3P9Z1C5,motorcycle,5.0,odd
6646db6ff89c18be72984de9,B2B4F7X3,motorcycle,3.0,odd
6646db6ff89c18be72984deb,B1U5D3R7,motorcycle,7.0,odd
6646db6ff89c18be72984ded,B9X2W7V5,motorcycle,5.0,odd
6646db6ff89c18be72984df0,B2V4C8P3,motorcycle,3.0,odd
6646db6ff89c18be72984df2,B6F3C8S1,motorcycle,1.0,odd
6646db6ff89c18be72984df5,B3X5W9V7,motorcycle,7.0,odd
6646db6ff89c18be72984df6,B4J2S7N1,motorcycle,1.0,odd
6646db6ff89c18be72984df7,B5H1W3Z9,motorcycle,9.0,odd
6646db6ff89c18be72984df8,B8P5F3T1,motorcycle,1.0,odd
6646db6ff89c18be72984df9,B6U2H9R3,motorcycle,3.0,odd
6646db6ff89c18be72984dfa,B4Z2K7D1,motorcycle,1.0,odd
6646db6ff89c18be72984dfb,B6D1M7Z3,motorcycle,3.0,odd
6646db6ff89c18be72984dfc,B3T2P7M1,motorcycle,1.0,odd
6646db6ff89c18be72984dff,B7X4D3F1,motorcycle,1.0,odd
6646db6ff89c18be72984e00,B2Z8F3X7,motorcycle,7.0,odd
6646db6ff89c18be72984e01,B9R2S5T7,motorcycle,7.0,odd
6646db6ff89c18be72984e02,B7V2H9D5,motorcycle,5.0,odd
6646db6ff89c18be72984e03,B6J1W4T9,motorcycle,9.0,odd
6646db6ff89c18be72984e04,B3C5V7S1,motorcycle,1.0,odd
6646db6ff89c18be72984e06,B8Z1M3P9,motorcycle,9.0,odd
6646db6ff89c18be72984e08,B9X2N5S1,motorcycle,1.0,odd
6646db6ff89c18be72984e0a,B3P5U9K7,motorcycle,7.0,odd
6646db6ff89c18be72984e0c,B2X4V9R1,motorcycle,1.0,odd
6646db6ff89c18be72984e0f,B7K9J4X1,motorcycle,1.0,odd
6646db6ff89c18be72984e10,B8P2D3X9,motorcycle,9.0,odd
6646db6ff89c18be72984e12,B9H8X4W1,motorcycle,1.0,odd
6646db6ff89c18be72984e13,B7K2N4U1,motorcycle,1.0,odd
6646db6ff89c18be72984e16,B8F3Z9W7,motorcycle,7.0,odd
6646db6ff89c18be72984e17,B6R1T7N5,motorcycle,5.0,odd
6646db6ff89c18be72984e18,B9Z3K7X1,motorcycle,1.0,odd
6646db6ff89c18be72984e1a,B1N3U8M5,motorcycle,5.0,odd
6646db6ff89c18be72984e1c,B6D1J7X9,motorcycle,9.0,odd
6646db6ff89c18be72984e1d,B5P9V2N3,motorcycle,3.0,odd
6646db6ff89c18be72984e1e,B8M3Z2C1,motorcycle,1.0,odd
6646db6ff89c18be72984e20,B4F7H1M3,motorcycle,3.0,odd
6646db6ff89c18be72984e21,B9R7T4P1,motorcycle,1.0,odd
6646db6ff89c18be72984e23,B4K7N9W3,motorcycle,3.0,odd
6646db6ff89c18be72984e24,B2Z8R5V7,motorcycle,7.0,odd
6646db6ff89c18be72984e25,B3P7W9T1,motorcycle,1.0,odd
6646db6ff89c18be72984e26,B9U2X5Z3,motorcycle,3.0,odd
6646db6ff89c18be72984e27,B6J8H3R1,motorcycle,1.0,odd
6646db6ff89c18be72984e29,B6X2R9C1,motorcycle,1.0,odd
